date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:36:37	2894/2894	---M-Z	200	added ('OK')	application/javascript	etag:W/%2263e2c124-b4e%22	https://leafletjs.com/docs/js/docs.js	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/docs/js/docs.js	(from https://leafletjs.com/)
07:36:37	165107/165107	---M--	200	added ('OK')	image/png	etag:%2263e2c124-284f3%22	https://leafletjs.com/docs/images/logos.png	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/docs/images/logos.png	(from https://leafletjs.com/docs/css/main.css)
07:36:37	981/981	---M--	200	added ('OK')	image/png	etag:%2263e2c124-3d5%22	https://leafletjs.com/docs/images/sprite.png	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/docs/images/sprite.png	(from https://leafletjs.com/docs/css/main.css)
07:36:38	5082/5082	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2263e2c124-13da%22	https://leafletjs.com/docs/images/sprite.svg	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/docs/images/sprite.svg	(from https://leafletjs.com/docs/css/main.css)
07:36:38	696/696	---M--	200	added ('OK')	image/png	etag:%222b8-yedSjkkaOSMrokonBsbHOdb7DwY%22	https://unpkg.com/leaflet@1.9.3/dist/images/layers.png	C:/Mis%20lugares%20Web/Leaflet/unpkg.com/leaflet@1.9.3/dist/images/layers.png	(from https://unpkg.com/leaflet@1.9.3/dist/leaflet.css)
07:36:38	1259/1259	---M--	200	added ('OK')	image/png	etag:%224eb-FSoWIzPkbST52J9WYxL8DGQBHe4%22	https://unpkg.com/leaflet@1.9.3/dist/images/layers-2x.png	C:/Mis%20lugares%20Web/Leaflet/unpkg.com/leaflet@1.9.3/dist/images/layers-2x.png	(from https://unpkg.com/leaflet@1.9.3/dist/leaflet.css)
07:36:38	1466/1466	---M--	200	added ('OK')	image/png	etag:%225ba-YKkLy7K0K33bRVbblOt8EISw5do%22	https://unpkg.com/leaflet@1.9.3/dist/images/marker-icon.png	C:/Mis%20lugares%20Web/Leaflet/unpkg.com/leaflet@1.9.3/dist/images/marker-icon.png	(from https://unpkg.com/leaflet@1.9.3/dist/leaflet.css)
07:36:39	14873/14873	---M-Z	200	added ('OK')	text/html	etag:W/%2263e2c129-3a19%22	https://leafletjs.com/index.html	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/index-2.html	(from https://leafletjs.com/examples.html)
07:36:39	121054/121054	---M--	200	added ('OK')	image/png	etag:%2263e2c124-1d8de%22	https://leafletjs.com/examples/quick-start/thumbnail.png	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/examples/quick-start/thumbnail.png	(from https://leafletjs.com/examples.html)
07:36:39	167153/167153	---M--	200	added ('OK')	image/png	etag:%2263e2c124-28cf1%22	https://leafletjs.com/examples/mobile/thumbnail.png	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/examples/mobile/thumbnail.png	(from https://leafletjs.com/examples.html)
07:36:39	145450/145450	---M--	200	added ('OK')	image/png	etag:%2263e2c124-2382a%22	https://leafletjs.com/examples/custom-icons/thumbnail.png	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/examples/custom-icons/thumbnail.png	(from https://leafletjs.com/examples.html)
07:36:39	77739/77739	---M--	200	added ('OK')	image/png	etag:%2263e2c124-12fab%22	https://leafletjs.com/examples/accessibility/thumbnail.png	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/examples/accessibility/thumbnail.png	(from https://leafletjs.com/examples.html)
07:36:40	40051/40051	---M--	200	added ('OK')	image/png	etag:%2263e2c124-9c73%22	https://leafletjs.com/examples/geojson/thumbnail.png	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/examples/geojson/thumbnail.png	(from https://leafletjs.com/examples.html)
07:36:40	47056/47056	---M--	200	added ('OK')	image/png	etag:%2263e2c124-b7d0%22	https://leafletjs.com/examples/choropleth/thumbnail.png	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/examples/choropleth/thumbnail.png	(from https://leafletjs.com/examples.html)
07:36:40	8838/8838	---M-Z	200	added ('OK')	text/html	etag:W/%2263e2c129-2286%22	https://leafletjs.com/examples/mobile/	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/examples/mobile/index.html	(from https://leafletjs.com/examples.html)
07:36:40	83477/83477	---M--	200	added ('OK')	image/png	etag:%2263e2c124-14615%22	https://leafletjs.com/examples/layers-control/thumbnail.png	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/examples/layers-control/thumbnail.png	(from https://leafletjs.com/examples.html)
07:36:40	41774/41774	---M--	200	added ('OK')	image/png	etag:%2263e2c124-a32e%22	https://leafletjs.com/examples/zoom-levels/thumbnail.png	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/examples/zoom-levels/thumbnail.png	(from https://leafletjs.com/examples.html)
07:36:41	13763/13763	---M-Z	200	added ('OK')	text/html	etag:W/%2263e2c129-35c3%22	https://leafletjs.com/examples/crs-simple/crs-simple.html	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/examples/crs-simple/crs-simple.html	(from https://leafletjs.com/examples.html)
07:36:41	31834/31834	---M--	200	added ('OK')	image/png	etag:%2263e2c124-7c5a%22	https://leafletjs.com/examples/crs-simple/thumbnail.png	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/examples/crs-simple/thumbnail.png	(from https://leafletjs.com/examples.html)
07:36:41	9324/9324	---M-Z	200	added ('OK')	text/html	etag:W/%2263e2c129-246c%22	https://leafletjs.com/examples/custom-icons/	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/examples/custom-icons/index.html	(from https://leafletjs.com/examples.html)
07:36:41	17478/17478	---M-Z	200	added ('OK')	text/html	etag:W/%2263e2c129-4446%22	https://leafletjs.com/examples/wms/wms.html	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/examples/wms/wms.html	(from https://leafletjs.com/examples.html)
07:36:41	78245/78245	---M--	200	added ('OK')	image/png	etag:%2263e2c124-131a5%22	https://leafletjs.com/examples/wms/thumbnail.png	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/examples/wms/thumbnail.png	(from https://leafletjs.com/examples.html)
07:36:42	52560/52560	---M--	200	added ('OK')	image/png	etag:%2263e2c124-cd50%22	https://leafletjs.com/examples/map-panes/thumbnail.png	C:/Mis%20lugares%20Web/Leaflet/leafletjs.com/examples/map-panes/thumbnail.png	(from https://leafletjs.com/examples.html)
